spin,bet,normalWin,freeSpinWin,bonusWin,totalWin,rtp_cumulative
10000,100000,74037,13150,5950,93137,93.14%
20000,200000,149384,24392,11100,184876,92.44%
30000,300000,225445,43730,15200,284375,94.79%
40000,400000,300519,56398,18700,375617,93.90%
50000,500000,375220,67342,25500,468062,93.61%
60000,600000,450622,83196,31500,565318,94.22%
70000,700000,525898,95220,35850,656968,93.85%
80000,800000,601839,109740,41500,753079,94.13%
90000,900000,676627,125456,49350,851433,94.60%
100000,1000000,750766,141586,55050,947402,94.74%
